"0","","《蒼葉のテラス》に棲みついている
グリフィンの退治をどうか
よろしくお願いします","《蒼葉のテラス》に棲みついている
グリフィンの退治をどうか
よろしくお願いします","ui\00_message\quest\q60060001.gmd","\quest\q60060001.arc","q60060001.arc","1","Christine","Quest Dialogue"
"0","","――しかし、妙です
グリフィンはもともと、ボルドやダウ地方に
生息している魔物
それがこの森へ居付くなど","――しかし、妙です
グリフィンはもともと、ボルドやダウ地方に
生息している魔物
それがこの森へ居付くなど","ui\00_message\quest\q60060001.gmd","\quest\q60060001.arc","q60060001.arc","2","Christine","Quest Dialogue"
"0","","《蒼葉のテラス》のグリフィン討伐
お疲れ様でございました","《蒼葉のテラス》のグリフィン討伐
お疲れ様でございました","ui\00_message\quest\q60060001.gmd","\quest\q60060001.arc","q60060001.arc","3","Christine","Quest Dialogue"
"0","","これで蒼葉のテラス付近の危険度が
軽減されたので、ディナン深層林への
道を再整備できるかもしれません","これで蒼葉のテラス付近の危険度が
軽減されたので、ディナン深層林への
道を再整備できるかもしれません","ui\00_message\quest\q60060001.gmd","\quest\q60060001.arc","q60060001.arc","4","Christine","Quest Dialogue"
"0","","引き続き、このエリアのボードクエストや
ワールドクエストをクリアすることで
力をお貸しくださると幸いです","引き続き、このエリアのボードクエストや
ワールドクエストをクリアすることで
力をお貸しくださると幸いです","ui\00_message\quest\q60060001.gmd","\quest\q60060001.arc","q60060001.arc","5","Christine","Quest Dialogue"
"0","","覚者さま、いずれよき頃合いにて
《蒼葉のテラス》に棲みついた
グリフィンの討伐をお願いいたします","覚者さま、いずれよき頃合いにて
《蒼葉のテラス》に棲みついた
グリフィンの討伐をお願いいたします","ui\00_message\quest\q60060001.gmd","\quest\q60060001.arc","q60060001.arc","6","Christine","Quest Dialogue"
"0","","あの魔物の討伐がなれば、ディナン山道の
復旧も早まるかもしれません","あの魔物の討伐がなれば、ディナン山道の
復旧も早まるかもしれません","ui\00_message\quest\q60060001.gmd","\quest\q60060001.arc","q60060001.arc","7","Christine","Quest Dialogue"
"0","","覚者さま、巨人《ヨトン》討伐の件
お引き受けくださりありがとうございます","覚者さま、巨人《ヨトン》討伐の件
お引き受けくださりありがとうございます","ui\00_message\quest\q60060002.gmd","\quest\q60060002.arc","q60060002.arc","0","Christine","Quest Dialogue"
"0","","巨人は数年前、ついに討伐隊により
深手を負い姿を消したのですが――
死には至らず、息をひそめていたのでしょう","巨人は数年前、ついに討伐隊により
深手を負い姿を消したのですが――
死には至らず、息をひそめていたのでしょう","ui\00_message\quest\q60060002.gmd","\quest\q60060002.arc","q60060002.arc","1","Christine","Quest Dialogue"
"0","","ヨトンは《巨人の寝床》に居るはずです
再びかの魔物を追い払って
いただけないでしょうか","ヨトンは《巨人の寝床》に居るはずです
再びかの魔物を追い払って
いただけないでしょうか","ui\00_message\quest\q60060002.gmd","\quest\q60060002.arc","q60060002.arc","2","Christine","Quest Dialogue"
"0","","《ヨトン》討伐、覚者さまのお力あってこそ――
本当にありがとうございました","《ヨトン》討伐、覚者さまのお力あってこそ――
本当にありがとうございました","ui\00_message\quest\q60060002.gmd","\quest\q60060002.arc","q60060002.arc","3","Christine","Quest Dialogue"
"0","","これで白獅子もかの巨人も
再び姿を現したとて、当面この森に
食い止めておくことができましょう","これで白獅子もかの巨人も
再び姿を現したとて、当面この森に
食い止めておくことができましょう","ui\00_message\quest\q60060002.gmd","\quest\q60060002.arc","q60060002.arc","4","Christine","Quest Dialogue"
"0","","貴方さまは、この森の平穏だけでなく
リンウッドやテルまでお守りになったのです","貴方さまは、この森の平穏だけでなく
リンウッドやテルまでお守りになったのです","ui\00_message\quest\q60060002.gmd","\quest\q60060002.arc","q60060002.arc","5","Christine","Quest Dialogue"
